,dataset_id,dataset_name,organization_name,service_name,start_year_collected,end_year_collected,agg_basis,notes,route_id_exists,route_name_exists,direction_exists,stop_id_exists,stop_name_exists,stop_lat_exists,stop_lon_exists,avg_boardings_exists,avg_alightings_exists,avg_ridership_exists
0,189FC69D989010FD,golden_gate_park_shuttle_ridership,City and County of San Francisco,Golden Gate Park Shuttle,2024,2025,daily,Collected manually by operators. Weekday two vehicles operate 12pm-6pm. Weekends/Holidays three vehicles operate 9am-6pm.,0,0,1,0,1,0,0,0,0,1
1,957BBF3AD8FC1B44,samtrans_ridership,San Mateo County Transit District,SamTrans,2025,2025,daily,APCs are not NTD-certified and has error rate above 5% threshold required by NTD. This is the only source for stop-level data at this time.,1,0,0,1,1,1,1,1,1,0
2,1B1BADA1E00153AF,sunline_transit_ridership,SunLine Transit Agency,SunLine Transit,2022,2025,fiscal year,,0,0,0,1,1,1,1,1,1,0
3,581003114DDAFDBE,santa_cruz_metro_ridership,Santa Cruz Metropolitan Transit District,Santa Cruz METRO,2024,2025,custom period,"Several buses without APC hardware (5 in March and 8 in April 2025) didn't collect data. Clever Insights failed to collect APC data on all routes from 2025-06-16 to 2025-06-30. Each stop id has two rows (stop_name, stop_name [stop_id])",0,0,0,1,1,0,0,1,1,0
4,1CCF9080DC015EB8,foothill_transit_ridership,Foothill Transit,Foothill Transit,2024,2025,daily,,1,0,1,1,0,1,1,1,1,0
5,9B106785FD780293,fresno_area_express_ridership,City of Fresno,Fresno Area Express,2024,2025,daily,Dataset include most specific fixed route data. Data collected by Dilax APCs goes through trip matching process and projection process. Data provided is final projected boardings/alightings used for official reporting. 1.1% of trips locked by Dilax and unusable. No service on Thanksgiving and Christmas day. ,0,0,0,1,1,0,0,1,1,0
6,923349C0D2AC9D75,sdmts_ridership,San Diego Metropolitan Transit System,San Diego Metropolitan Transit System,2024,2025,service period,Data collected from APCs. Stop IDs consistent with GTFS Stop IDs over the same time.,1,1,1,1,1,0,0,1,1,0
7,EB48A750664948FB,golden_gate_transit_ridership,"Golden Gate Bridge, Highway and Transportation District",Golden Gate Transit,2025,2025,daily,"The dataset includes stop-level ridership and virtual time point data. When POINT_ROLE = 'T', the entries do not contain boarding or alighting information.",1,0,1,1,1,0,0,1,1,0
8,011CF30F49575609,bart_ridership,San Francisco Bay Area Rapid Transit District,Bay Area Rapid Transit,2024,2025,daily,,0,0,0,0,1,0,0,1,1,0
9,395857DB9F379E73,big_blue_bus_ridership,City of Santa Monica,Big Blue Bus,2024,2025,service period,"Big Blue Bus implement three service that changes annually, referenced as SERVICE_PERIOD and named after the month they take effect in raw data. Each service lasts for approximately 4 months.",1,1,1,1,1,1,1,1,1,0
10,3AF83FABCB03BDF4,long_beach_transit_ridership,Long Beach Transit,Long Beach Transit,2024,2025,fiscal year,"Compiled through survey efforts, supplemented with APC data.",1,0,1,1,1,0,0,1,1,0
11,40F5F343F0BD5850,omni_trans_ridership,OmniTrans,OmniTrans,2023,2026,fiscal year,,1,0,0,0,1,0,0,1,1,0
12,165BA8D319143274,sbmtd_ridership,Santa Barbara Metropolitan Transit District,Santa Barbara Metropolitan Transit District,2024,2025,monthly,"Data collected using APC and sourced through Hopthru, which the agency received NTD certification for. In rare event that the APCs do not recognize a data point and discard it.",0,0,0,1,1,0,0,1,1,1
13,AAB25897C65A4725,gold_coast_transit_ridership,Gold Coast Transit District,Gold Coast Transit,2025,2025,monthly,"We received raw data for May and October, from 2018 to 2025. In first release we only import May 2025 data, which contains most clear and comprehensive columns/info.",1,0,1,1,1,1,1,1,1,0
14,2071F74D38820FC2,sacrt_bus_ridership,Sacramento Regional Transit District,Sacramento Regional Transit District Bus,2023,2023,custom period,GTFS-ride format.,1,1,1,1,1,1,1,1,1,0
15,313575E419A203CA,culver_citybus_ridership,City of Culver City,Culver CityBus,2025,2025,custom period,Data collected with Hella APCs and processed by UTA Transit. Data is undercount. Trips that were rejected by APC processing software are dropped. Data reported to NTD is factored to replace the rejected trips and is higher.,1,1,1,1,1,0,0,1,1,0
16,52A9DCDCDBA1CCD3,riverside_transit_ridership,Riverside Transit Agency,Riverside Transit,2025,2025,daily,,1,0,1,1,0,1,1,0,0,1
17,26406E10C753AC29,octa_ridership,Orange County Transportation Authority,Orange County Transportation Authority,2025,2025,daily,2025/2/4 has highest boarding in Q1 2025. Stop id extracted from raw stop name.,1,1,1,1,1,0,0,1,1,0
18,D3642CDF7FD75B27,caltrain_ridership,Peninsula Corridor Joint Powers Board,Caltrain,2023,2025,monthly,Ridership numbers are estimated based on sales data from the various methods passengers pay for Caltrain fares.,0,0,0,0,1,0,0,0,0,1
